Code,Name,lon,lat
RWA,Rwanda,29.873888,-1.940278
BLM,Saint-Barthélemy,-62.833333,17.9
SHN,Saint Helena,-5.7114847,-15.9655282
KNA,Saint Kitts and Nevis,-62.782998,17.357822
LCA,Saint Lucia,-60.978893,13.909444
MAF,Saint-Martin,-63.05225100000001,18.08255
SPM,Saint Pierre and Miquelon,-56.3159,46.8852
VCT,Saint Vincent and the Grenadines,-61.196251,13.2533835
WSM,Samoa,-172.104629,-13.759029
SMR,San Marino,12.457777,43.94236
STP,Sao Tome and Principe,6.613080999999999,0.18636
 ,Sark,-2.3609034,49.4301912
SAU,Saudi Arabia,45.079162,23.885942
SEN,Senegal,-14.452362,14.497401
SRB,Serbia,21.005859,44.016521
SYC,Seychelles,55.491977,-4.679574
SLE,Sierra Leone,-11.779889,8.460555
SGP,Singapore,103.819836,1.352083
SVK,Slovakia,19.699024,48.669026
SXM,Sint Maarten,-63.05225100000001,18.08255
SVN,Slovenia,14.995463,46.151241
SLB,Solomon Islands,160.156194,-9.64571
SOM,Somalia,46.199616,5.152149
ZAF,South Africa,22.937506,-30.559482
SSD,South Sudan,30.1589303,7.9630921
ESP,Spain,-3.74922,40.46366700000001
LKA,Sri Lanka,80.77179699999999,7.873053999999999
SDN,Sudan,30.217636,12.862807
SUR,Suriname,-56.027783,3.919305
SJM,Svalbard and Jan Mayen Islands,-8.5223129,71.02135369999999
SWZ,Swaziland,31.465866,-26.522503
SWE,Sweden,18.643501,60.12816100000001
CHE,Switzerland,8.227511999999999,46.818188
SYR,Syrian Arab Republic,38.996815,34.80207499999999
TJK,Tajikistan,71.276093,38.861034
THA,Thailand,100.992541,15.870032
MKD,Macedonia,21.745275,41.608635
TLS,Timor-Leste,125.727539,-8.874217
TGO,Togo,0.824782,8.619543
TKL,Tokelau,-171.8484,-9.200199999999999
TON,Tonga,-175.198242,-21.178986
TTO,Trinidad and Tobago,-61.222503,10.691803
TUN,Tunisia,9.537499,33.886917
TUR,Turkey,35.243322,38.963745
TKM,Turkmenistan,59.556278,38.969719
TCA,Turks and Caicos Islands,-71.797928,21.694025
TUV,Tuvalu,179.4726562,-10.7280717
UGA,Uganda,32.290275,1.373333
UKR,Ukraine,31.16558,48.379433
ARE,United Arab Emirates,53.847818,23.424076
GBR,United Kingdom of Great Britain and Northern Ireland,-3.435973,55.378051
TZA,United Republic of Tanzania,34.888822,-6.369028
USA,United States of America,-95.712891,37.09024
VIR,United States Virgin Islands,-64.896335,18.335765
URY,Uruguay,-55.765835,-32.522779
UZB,Uzbekistan,64.585262,41.377491
VUT,Vanuatu,166.959158,-15.376706
VEN,Venezuela,-66.58973,6.42375
VNM,Viet Nam,108.277199,14.058324
WLF,Wallis and Futuna Islands,-178.1096118,-14.3019078
ESH,Western Sahara,-12.885834,24.215527
YEM,Yemen,48.516388,15.552727
ZMB,Zambia,27.849332,-13.133897
ZWE,Zimbabwe,29.154857,-19.015438
