"PART","Part","DATATYPE","Amount type","DAC_RECIPIENT","Recipient","TIME","Year",Value,Flags
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1995","1995",2458.68,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1996","1996",3542.18,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1997","1997",1041.24,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1998","1998",634.63,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","1999","1999",-67.42,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2000","2000",1.03,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2001","2001",166.79,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2002","2002",72.9,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2003","2003",233.29,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2004","2004",-784.24,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2005","2005",-513.83,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2006","2006",-2472.19,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2007","2007",319.87,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2008","2008",127.93,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2009","2009",198.2,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2010","2010",173.82,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","130","Algeria","2011","2011",202.69,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1970","1970",-0.03,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1971","1971",0,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1972","1972",0.09,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1973","1973",0.16,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1974","1974",0.37,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1975","1975",4.76,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1976","1976",17.48,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1977","1977",47.57,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1978","1978",46.98,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1979","1979",47.06,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1980","1980",58.79,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1981","1981",60.22,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1982","1982",59.03,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1983","1983",73.75,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1984","1984",93.94,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1985","1985",93.83,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1986","1986",135.78,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1987","1987",162.27,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1988","1988",165.3,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1989","1989",176.06,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1990","1990",365.52,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1991","1991",294.92,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1992","1992",324.7,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1993","1993",309.37,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1994","1994",836.39,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1995","1995",499.16,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1996","1996",464.29,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1997","1997",297.68,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1998","1998",279.55,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","1999","1999",330.38,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2000","2000",256.29,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2001","2001",271.21,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2002","2002",398.76,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2003","2003",490.96,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2004","2004",884.88,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2005","2005",413.09,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2006","2006",153.9,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2007","2007",239.17,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2008","2008",521.21,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2009","2009",226.77,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2010","2010",233.94,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","225","Angola","2011","2011",209.25,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1970","1970",38.81,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1971","1971",86.71,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1972","1972",69.99,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1973","1973",159.58,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1974","1974",106.92,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1975","1975",45.97,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1976","1976",89.06,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1977","1977",87.79,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1978","1978",114.84,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1979","1979",103.03,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1980","1980",80.37,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1981","1981",265.15,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1982","1982",167.84,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1983","1983",198.17,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1984","1984",280.83,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1985","1985",390.81,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1986","1986",1102.95,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1987","1987",1069.98,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1988","1988",890.53,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1989","1989",635.98,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1990","1990",803.99,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1991","1991",546.38,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1992","1992",265.37,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1993","1993",3203.31,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1994","1994",1317.12,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1995","1995",2593.18,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1996","1996",1255.96,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1997","1997",1108.76,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1998","1998",2687.07,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","1999","1999",2061.22,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2000","2000",890.34,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2001","2001",1783.13,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2002","2002",-1591.99,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2003","2003",-560.34,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2004","2004",-141.56,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2005","2005",-293.03,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2006","2006",-748,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2007","2007",-441.87,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2008","2008",-380.35,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2009","2009",1430.18,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2010","2010",744.71,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","425","Argentina","2011","2011",580.51,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1985","1985",12.04,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1986","1986",40.43,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1987","1987",20.91,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1988","1988",19.29,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1989","1989",24.33,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1990","1990",29.97,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1991","1991",24.97,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1992","1992",29.99,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1993","1993",24.86,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1994","1994",19.72,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1995","1995",25.7,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1996","1996",19.43,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1997","1997",24.96,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1998","1998",11.14,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","373","Aruba","1999","1999",-7.38,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1970","1970",0.95,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1971","1971",4.7,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1972","1972",2.84,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1973","1973",15.67,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1974","1974",39.59,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1975","1975",88.28,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1976","1976",229.05,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1977","1977",97.96,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1978","1978",84.76,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1979","1979",135.29,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1980","1980",209.07,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1981","1981",210.56,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1982","1982",184.06,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1983","1983",292.69,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1984","1984",260.78,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1985","1985",113.15,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1986","1986",141.88,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1987","1987",7.83,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1988","1988",-2.61,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1989","1989",-1.77,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1990","1990",137.47,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1991","1991",94.7,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1992","1992",79.89,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1993","1993",111.19,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1994","1994",97.35,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1995","1995",99.62,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1996","1996",132.1,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1997","1997",150.05,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1998","1998",199.49,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","1999","1999",61.64,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","2000","2000",60.2,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","2001","2001",69.06,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","2002","2002",61.58,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","2003","2003",155.68,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","530","Bahrain","2004","2004",58.22,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1971","1971",15.36,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1972","1972",223.76,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1973","1973",426.62,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1974","1974",531.75,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1975","1975",1127.96,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1976","1976",503.6,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1977","1977",784.68,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1978","1978",992.75,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1979","1979",1162.34,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1980","1980",1290.23,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1981","1981",1114.46,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1982","1982",1337.71,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1983","1983",1041.07,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1984","1984",1201.26,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1985","1985",1125.47,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1986","1986",1433.26,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1987","1987",1794.74,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1988","1988",1616.02,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1989","1989",1805.77,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1990","1990",2103.17,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1991","1991",1876.48,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1992","1992",1825.27,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1993","1993",1379.54,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1994","1994",1752.48,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1995","1995",1275.59,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1996","1996",1214.36,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1997","1997",1009.07,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1998","1998",1146.38,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","1999","1999",1261.22,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2000","2000",1174.72,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2001","2001",1057.67,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2002","2002",919.23,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2003","2003",1423.59,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2004","2004",1524.01,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2005","2005",1466.97,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2006","2006",1281.53,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2007","2007",1583.4,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2008","2008",2157.26,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2009","2009",1926.31,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2010","2010",1559.22,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","666","Bangladesh","2011","2011",1679.07,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","86","Belarus","2005","2005",63.38,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","86","Belarus","2006","2006",72.13,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","86","Belarus","2007","2007",56.1,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","86","Belarus","2008","2008",137.28,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","86","Belarus","2009","2009",350.84,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","86","Belarus","2010","2010",206.41,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","86","Belarus","2011","2011",143.02,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1970","1970",14.84,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1971","1971",29.06,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1972","1972",20.18,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1973","1973",26.65,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1974","1974",34.56,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1975","1975",54.21,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1976","1976",51.83,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1977","1977",52.78,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1978","1978",64.33,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1979","1979",88.03,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1980","1980",91.7,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1981","1981",85.82,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1982","1982",79.89,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1983","1983",84.36,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1984","1984",75.46,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1985","1985",94.23,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1986","1986",135.61,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1987","1987",135.12,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1988","1988",234.26,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1989","1989",313.27,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1990","1990",295.93,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1991","1991",264.62,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1992","1992",277.4,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1993","1993",306.19,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1994","1994",254.71,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1995","1995",282.23,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1996","1996",283.94,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1997","1997",219.27,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1998","1998",203.62,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","1999","1999",211.95,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","2000","2000",251.91,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","2001","2001",277.35,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","2002","2002",222.48,
"1","1 : Part I - Developing Countries","A","Current Prices (USD millions)","236","Benin","2003","2003",299.35,
